icdequivalence,icdequivalence_desc,icd10_code
"F70,F71,F72,F73,F78,F79",Other neuropsychiatric disorders - Retardation,F71
"F70,F71,F72,F73,F78,F79",Other neuropsychiatric disorders - Retardation,F72
"F70,F71,F72,F73,F78,F79",Other neuropsychiatric disorders - Retardation,F73
"F70,F71,F72,F73,F78,F79",Other neuropsychiatric disorders - Retardation,F78
"F70,F71,F72,F73,F78,F79",Other neuropsychiatric disorders - Retardation,F79
"F80,F81,F82,F83,F84,F88,F89",Other neuropsychiatric disorders - Psychological,F80
"F80,F81,F82,F83,F84,F88,F89",Other neuropsychiatric disorders - Psychological,F81
"F80,F81,F82,F83,F84,F88,F89",Other neuropsychiatric disorders - Psychological,F82
"F80,F81,F82,F83,F84,F88,F89",Other neuropsychiatric disorders - Psychological,F83
"F80,F81,F82,F83,F84,F88,F89",Other neuropsychiatric disorders - Psychological,F84
"F80,F81,F82,F83,F84,F88,F89",Other neuropsychiatric disorders - Psychological,F88
"F80,F81,F82,F83,F84,F88,F89",Other neuropsychiatric disorders - Psychological,F89
"F90,F91,F92,F93,F94,F95,F96,F97,F98",Other neuropsychiatric disorders - Childhood and adolescence,F90
"F90,F91,F92,F93,F94,F95,F96,F97,F98",Other neuropsychiatric disorders - Childhood and adolescence,F91
"F90,F91,F92,F93,F94,F95,F96,F97,F98",Other neuropsychiatric disorders - Childhood and adolescence,F92
"F90,F91,F92,F93,F94,F95,F96,F97,F98",Other neuropsychiatric disorders - Childhood and adolescence,F93
"F90,F91,F92,F93,F94,F95,F96,F97,F98",Other neuropsychiatric disorders - Childhood and adolescence,F94
"F90,F91,F92,F93,F94,F95,F96,F97,F98",Other neuropsychiatric disorders - Childhood and adolescence,F95
"F90,F91,F92,F93,F94,F95,F96,F97,F98",Other neuropsychiatric disorders - Childhood and adolescence,F96
"F90,F91,F92,F93,F94,F95,F96,F97,F98",Other neuropsychiatric disorders - Childhood and adolescence,F97
"F90,F91,F92,F93,F94,F95,F96,F97,F98",Other neuropsychiatric disorders - Childhood and adolescence,F98
"G10,G11,G12,G13,G20,G21,G22,G23,G24,G25,G26,G30,G31,G32,G35,G36,G37,G43,G44,G47,G45,G46,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G70,G71,G72,G73,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99",Other neuropsychiatric disorders - nervous system,G10
"G10,G11,G12,G13,G20,G21,G22,G23,G24,G25,G26,G30,G31,G32,G35,G36,G37,G43,G44,G47,G45,G46,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G70,G71,G72,G73,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99",Other neuropsychiatric disorders - nervous system,G11
"G10,G11,G12,G13,G20,G21,G22,G23,G24,G25,G26,G30,G31,G32,G35,G36,G37,G43,G44,G47,G45,G46,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G70,G71,G72,G73,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99",Other neuropsychiatric disorders - nervous system,G12
"G10,G11,G12,G13,G20,G21,G22,G23,G24,G25,G26,G30,G31,G32,G35,G36,G37,G43,G44,G47,G45,G46,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G70,G71,G72,G73,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99",Other neuropsychiatric disorders - nervous system,G13
"G10,G11,G12,G13,G20,G21,G22,G23,G24,G25,G26,G30,G31,G32,G35,G36,G37,G43,G44,G47,G45,G46,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G70,G71,G72,G73,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99",Other neuropsychiatric disorders - nervous system,G20
"G10,G11,G12,G13,G20,G21,G22,G23,G24,G25,G26,G30,G31,G32,G35,G36,G37,G43,G44,G47,G45,G46,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G70,G71,G72,G73,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99",Other neuropsychiatric disorders - nervous system,G21
"G10,G11,G12,G13,G20,G21,G22,G23,G24,G25,G26,G30,G31,G32,G35,G36,G37,G43,G44,G47,G45,G46,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G70,G71,G72,G73,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99",Other neuropsychiatric disorders - nervous system,G22
"G10,G11,G12,G13,G20,G21,G22,G23,G24,G25,G26,G30,G31,G32,G35,G36,G37,G43,G44,G47,G45,G46,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G70,G71,G72,G73,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99",Other neuropsychiatric disorders - nervous system,G23
"G10,G11,G12,G13,G20,G21,G22,G23,G24,G25,G26,G30,G31,G32,G35,G36,G37,G43,G44,G47,G45,G46,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G70,G71,G72,G73,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99",Other neuropsychiatric disorders - nervous system,G24
"G10,G11,G12,G13,G20,G21,G22,G23,G24,G25,G26,G30,G31,G32,G35,G36,G37,G43,G44,G47,G45,G46,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G70,G71,G72,G73,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99",Other neuropsychiatric disorders - nervous system,G25
"G10,G11,G12,G13,G20,G21,G22,G23,G24,G25,G26,G30,G31,G32,G35,G36,G37,G43,G44,G47,G45,G46,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G70,G71,G72,G73,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99",Other neuropsychiatric disorders - nervous system,G26
"G10,G11,G12,G13,G20,G21,G22,G23,G24,G25,G26,G30,G31,G32,G35,G36,G37,G43,G44,G47,G45,G46,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G70,G71,G72,G73,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99",Other neuropsychiatric disorders - nervous system,G30
"G10,G11,G12,G13,G20,G21,G22,G23,G24,G25,G26,G30,G31,G32,G35,G36,G37,G43,G44,G47,G45,G46,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G70,G71,G72,G73,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99",Other neuropsychiatric disorders - nervous system,G31
"G10,G11,G12,G13,G20,G21,G22,G23,G24,G25,G26,G30,G31,G32,G35,G36,G37,G43,G44,G47,G45,G46,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G70,G71,G72,G73,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99",Other neuropsychiatric disorders - nervous system,G32
"G10,G11,G12,G13,G20,G21,G22,G23,G24,G25,G26,G30,G31,G32,G35,G36,G37,G43,G44,G47,G45,G46,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G70,G71,G72,G73,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99",Other neuropsychiatric disorders - nervous system,G35
"G10,G11,G12,G13,G20,G21,G22,G23,G24,G25,G26,G30,G31,G32,G35,G36,G37,G43,G44,G47,G45,G46,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G70,G71,G72,G73,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99",Other neuropsychiatric disorders - nervous system,G36
"G10,G11,G12,G13,G20,G21,G22,G23,G24,G25,G26,G30,G31,G32,G35,G36,G37,G43,G44,G47,G45,G46,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G70,G71,G72,G73,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99",Other neuropsychiatric disorders - nervous system,G37
"G10,G11,G12,G13,G20,G21,G22,G23,G24,G25,G26,G30,G31,G32,G35,G36,G37,G43,G44,G47,G45,G46,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G70,G71,G72,G73,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99",Other neuropsychiatric disorders - nervous system,G43
"G10,G11,G12,G13,G20,G21,G22,G23,G24,G25,G26,G30,G31,G32,G35,G36,G37,G43,G44,G47,G45,G46,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G70,G71,G72,G73,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99",Other neuropsychiatric disorders - nervous system,G44
"G10,G11,G12,G13,G20,G21,G22,G23,G24,G25,G26,G30,G31,G32,G35,G36,G37,G43,G44,G47,G45,G46,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G70,G71,G72,G73,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99",Other neuropsychiatric disorders - nervous system,G47
"G10,G11,G12,G13,G20,G21,G22,G23,G24,G25,G26,G30,G31,G32,G35,G36,G37,G43,G44,G47,G45,G46,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G70,G71,G72,G73,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99",Other neuropsychiatric disorders - nervous system,G45
"G10,G11,G12,G13,G20,G21,G22,G23,G24,G25,G26,G30,G31,G32,G35,G36,G37,G43,G44,G47,G45,G46,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G70,G71,G72,G73,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99",Other neuropsychiatric disorders - nervous system,G46
"G10,G11,G12,G13,G20,G21,G22,G23,G24,G25,G26,G30,G31,G32,G35,G36,G37,G43,G44,G47,G45,G46,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G70,G71,G72,G73,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99",Other neuropsychiatric disorders - nervous system,G50
"G10,G11,G12,G13,G20,G21,G22,G23,G24,G25,G26,G30,G31,G32,G35,G36,G37,G43,G44,G47,G45,G46,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G70,G71,G72,G73,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99",Other neuropsychiatric disorders - nervous system,G51
"G10,G11,G12,G13,G20,G21,G22,G23,G24,G25,G26,G30,G31,G32,G35,G36,G37,G43,G44,G47,G45,G46,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G70,G71,G72,G73,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99",Other neuropsychiatric disorders - nervous system,G52
"G10,G11,G12,G13,G20,G21,G22,G23,G24,G25,G26,G30,G31,G32,G35,G36,G37,G43,G44,G47,G45,G46,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G70,G71,G72,G73,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99",Other neuropsychiatric disorders - nervous system,G53
"G10,G11,G12,G13,G20,G21,G22,G23,G24,G25,G26,G30,G31,G32,G35,G36,G37,G43,G44,G47,G45,G46,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G70,G71,G72,G73,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99",Other neuropsychiatric disorders - nervous system,G54
"G10,G11,G12,G13,G20,G21,G22,G23,G24,G25,G26,G30,G31,G32,G35,G36,G37,G43,G44,G47,G45,G46,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G70,G71,G72,G73,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99",Other neuropsychiatric disorders - nervous system,G55
"G10,G11,G12,G13,G20,G21,G22,G23,G24,G25,G26,G30,G31,G32,G35,G36,G37,G43,G44,G47,G45,G46,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G70,G71,G72,G73,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99",Other neuropsychiatric disorders - nervous system,G56
"G10,G11,G12,G13,G20,G21,G22,G23,G24,G25,G26,G30,G31,G32,G35,G36,G37,G43,G44,G47,G45,G46,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G70,G71,G72,G73,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99",Other neuropsychiatric disorders - nervous system,G57
"G10,G11,G12,G13,G20,G21,G22,G23,G24,G25,G26,G30,G31,G32,G35,G36,G37,G43,G44,G47,G45,G46,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G70,G71,G72,G73,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99",Other neuropsychiatric disorders - nervous system,G58
"G10,G11,G12,G13,G20,G21,G22,G23,G24,G25,G26,G30,G31,G32,G35,G36,G37,G43,G44,G47,G45,G46,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G70,G71,G72,G73,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99",Other neuropsychiatric disorders - nervous system,G59
"G10,G11,G12,G13,G20,G21,G22,G23,G24,G25,G26,G30,G31,G32,G35,G36,G37,G43,G44,G47,G45,G46,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G70,G71,G72,G73,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99",Other neuropsychiatric disorders - nervous system,G60
"G10,G11,G12,G13,G20,G21,G22,G23,G24,G25,G26,G30,G31,G32,G35,G36,G37,G43,G44,G47,G45,G46,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G70,G71,G72,G73,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99",Other neuropsychiatric disorders - nervous system,G61
"G10,G11,G12,G13,G20,G21,G22,G23,G24,G25,G26,G30,G31,G32,G35,G36,G37,G43,G44,G47,G45,G46,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G70,G71,G72,G73,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99",Other neuropsychiatric disorders - nervous system,G62
"G10,G11,G12,G13,G20,G21,G22,G23,G24,G25,G26,G30,G31,G32,G35,G36,G37,G43,G44,G47,G45,G46,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G70,G71,G72,G73,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99",Other neuropsychiatric disorders - nervous system,G63
"G10,G11,G12,G13,G20,G21,G22,G23,G24,G25,G26,G30,G31,G32,G35,G36,G37,G43,G44,G47,G45,G46,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G70,G71,G72,G73,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99",Other neuropsychiatric disorders - nervous system,G64
"G10,G11,G12,G13,G20,G21,G22,G23,G24,G25,G26,G30,G31,G32,G35,G36,G37,G43,G44,G47,G45,G46,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G70,G71,G72,G73,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99",Other neuropsychiatric disorders - nervous system,G70
"G10,G11,G12,G13,G20,G21,G22,G23,G24,G25,G26,G30,G31,G32,G35,G36,G37,G43,G44,G47,G45,G46,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G70,G71,G72,G73,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99",Other neuropsychiatric disorders - nervous system,G71
"G10,G11,G12,G13,G20,G21,G22,G23,G24,G25,G26,G30,G31,G32,G35,G36,G37,G43,G44,G47,G45,G46,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G70,G71,G72,G73,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99",Other neuropsychiatric disorders - nervous system,G72
"G10,G11,G12,G13,G20,G21,G22,G23,G24,G25,G26,G30,G31,G32,G35,G36,G37,G43,G44,G47,G45,G46,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G70,G71,G72,G73,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99",Other neuropsychiatric disorders - nervous system,G73
"G10,G11,G12,G13,G20,G21,G22,G23,G24,G25,G26,G30,G31,G32,G35,G36,G37,G43,G44,G47,G45,G46,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G70,G71,G72,G73,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99",Other neuropsychiatric disorders - nervous system,G90
"G10,G11,G12,G13,G20,G21,G22,G23,G24,G25,G26,G30,G31,G32,G35,G36,G37,G43,G44,G47,G45,G46,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G70,G71,G72,G73,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99",Other neuropsychiatric disorders - nervous system,G91
"G10,G11,G12,G13,G20,G21,G22,G23,G24,G25,G26,G30,G31,G32,G35,G36,G37,G43,G44,G47,G45,G46,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G70,G71,G72,G73,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99",Other neuropsychiatric disorders - nervous system,G92
"G10,G11,G12,G13,G20,G21,G22,G23,G24,G25,G26,G30,G31,G32,G35,G36,G37,G43,G44,G47,G45,G46,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G70,G71,G72,G73,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99",Other neuropsychiatric disorders - nervous system,G93
"G10,G11,G12,G13,G20,G21,G22,G23,G24,G25,G26,G30,G31,G32,G35,G36,G37,G43,G44,G47,G45,G46,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G70,G71,G72,G73,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99",Other neuropsychiatric disorders - nervous system,G94
"G10,G11,G12,G13,G20,G21,G22,G23,G24,G25,G26,G30,G31,G32,G35,G36,G37,G43,G44,G47,G45,G46,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G70,G71,G72,G73,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99",Other neuropsychiatric disorders - nervous system,G95
"G10,G11,G12,G13,G20,G21,G22,G23,G24,G25,G26,G30,G31,G32,G35,G36,G37,G43,G44,G47,G45,G46,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G70,G71,G72,G73,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99",Other neuropsychiatric disorders - nervous system,G96
"G10,G11,G12,G13,G20,G21,G22,G23,G24,G25,G26,G30,G31,G32,G35,G36,G37,G43,G44,G47,G45,G46,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G70,G71,G72,G73,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99",Other neuropsychiatric disorders - nervous system,G97
"G10,G11,G12,G13,G20,G21,G22,G23,G24,G25,G26,G30,G31,G32,G35,G36,G37,G43,G44,G47,G45,G46,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G70,G71,G72,G73,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99",Other neuropsychiatric disorders - nervous system,G98
"G10,G11,G12,G13,G20,G21,G22,G23,G24,G25,G26,G30,G31,G32,G35,G36,G37,G43,G44,G47,G45,G46,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G70,G71,G72,G73,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99",Other neuropsychiatric disorders - nervous system,G99
"G40,G41,R56",Epilepsy,G40
"G40,G41,R56",Epilepsy,G41
"G40,G41,R56",Epilepsy,R56
"G80,G81,G82,G83",Other neuropsychiatric disorders - Cerebral Palsy,G80
"G80,G81,G82,G83",Other neuropsychiatric disorders - Cerebral Palsy,G81
"G80,G81,G82,G83",Other neuropsychiatric disorders - Cerebral Palsy,G82
"G80,G81,G82,G83",Other neuropsychiatric disorders - Cerebral Palsy,G83
"H65,H66,H67,H68,H70,H71",Acute respiratory infections - Upper (1),H65
"H65,H66,H67,H68,H70,H71",Acute respiratory infections - Upper (1),H66
"H65,H66,H67,H68,H70,H71",Acute respiratory infections - Upper (1),H67
"H65,H66,H67,H68,H70,H71",Acute respiratory infections - Upper (1),H68
"H65,H66,H67,H68,H70,H71",Acute respiratory infections - Upper (1),H70
"H65,H66,H67,H68,H70,H71",Acute respiratory infections - Upper (1),H71
"I00,I01,I02,I05,I06,I07,I08,I09,I38",Rheumatic heart diseases,I00
"I00,I01,I02,I05,I06,I07,I08,I09,I38",Rheumatic heart diseases,I01
"I00,I01,I02,I05,I06,I07,I08,I09,I38",Rheumatic heart diseases,I02
"I00,I01,I02,I05,I06,I07,I08,I09,I38",Rheumatic heart diseases,I05
"I00,I01,I02,I05,I06,I07,I08,I09,I38",Rheumatic heart diseases,I06
"I00,I01,I02,I05,I06,I07,I08,I09,I38",Rheumatic heart diseases,I07
"I00,I01,I02,I05,I06,I07,I08,I09,I38",Rheumatic heart diseases,I08
"I00,I01,I02,I05,I06,I07,I08,I09,I38",Rheumatic heart diseases,I09
"I00,I01,I02,I05,I06,I07,I08,I09,I38",Rheumatic heart diseases,I38
"I10,I11,I12,I13,I14,I15",Hypertensive heart diseases,I10
"I10,I11,I12,I13,I14,I15",Hypertensive heart diseases,I11
"I10,I11,I12,I13,I14,I15",Hypertensive heart diseases,I12
"I10,I11,I12,I13,I14,I15",Hypertensive heart diseases,I13
"I10,I11,I12,I13,I14,I15",Hypertensive heart diseases,I14
"I10,I11,I12,I13,I14,I15",Hypertensive heart diseases,I15
"I20,I11,I21,I22,I23,I24,I25,I44,I46,I70,R55,R96",Ischemic heart diseases,I20
"I20,I11,I21,I22,I23,I24,I25,I44,I46,I70,R55,R96",Ischemic heart diseases,I11
"I20,I11,I21,I22,I23,I24,I25,I44,I46,I70,R55,R96",Ischemic heart diseases,I21
"I20,I11,I21,I22,I23,I24,I25,I44,I46,I70,R55,R96",Ischemic heart diseases,I22
"I20,I11,I21,I22,I23,I24,I25,I44,I46,I70,R55,R96",Ischemic heart diseases,I23
"I20,I11,I21,I22,I23,I24,I25,I44,I46,I70,R55,R96",Ischemic heart diseases,I24
"I20,I11,I21,I22,I23,I24,I25,I44,I46,I70,R55,R96",Ischemic heart diseases,I25
"I20,I11,I21,I22,I23,I24,I25,I44,I46,I70,R55,R96",Ischemic heart diseases,I44
"I20,I11,I21,I22,I23,I24,I25,I44,I46,I70,R55,R96",Ischemic heart diseases,I46
"I20,I11,I21,I22,I23,I24,I25,I44,I46,I70,R55,R96",Ischemic heart diseases,I70
"I20,I11,I21,I22,I23,I24,I25,I44,I46,I70,R55,R96",Ischemic heart diseases,R55
"I20,I11,I21,I22,I23,I24,I25,I44,I46,I70,R55,R96",Ischemic heart diseases,R96
"I26,I27,I28,I31,I34,I35,I36,I37,I42,I43,I45,I47,I48,I49,I51,I52,I70,I71,I72,I73,I74,I77,I78,I79,I80,I81,I82,I83,I84,I85,I86,I87,I88,I89,I95,I96,I97,I98,I99",Other cardiovascular diseases,I26
"I26,I27,I28,I31,I34,I35,I36,I37,I42,I43,I45,I47,I48,I49,I51,I52,I70,I71,I72,I73,I74,I77,I78,I79,I80,I81,I82,I83,I84,I85,I86,I87,I88,I89,I95,I96,I97,I98,I99",Other cardiovascular diseases,I27
"I26,I27,I28,I31,I34,I35,I36,I37,I42,I43,I45,I47,I48,I49,I51,I52,I70,I71,I72,I73,I74,I77,I78,I79,I80,I81,I82,I83,I84,I85,I86,I87,I88,I89,I95,I96,I97,I98,I99",Other cardiovascular diseases,I28
"I26,I27,I28,I31,I34,I35,I36,I37,I42,I43,I45,I47,I48,I49,I51,I52,I70,I71,I72,I73,I74,I77,I78,I79,I80,I81,I82,I83,I84,I85,I86,I87,I88,I89,I95,I96,I97,I98,I99",Other cardiovascular diseases,I31
"I26,I27,I28,I31,I34,I35,I36,I37,I42,I43,I45,I47,I48,I49,I51,I52,I70,I71,I72,I73,I74,I77,I78,I79,I80,I81,I82,I83,I84,I85,I86,I87,I88,I89,I95,I96,I97,I98,I99",Other cardiovascular diseases,I34
"I26,I27,I28,I31,I34,I35,I36,I37,I42,I43,I45,I47,I48,I49,I51,I52,I70,I71,I72,I73,I74,I77,I78,I79,I80,I81,I82,I83,I84,I85,I86,I87,I88,I89,I95,I96,I97,I98,I99",Other cardiovascular diseases,I35
"I26,I27,I28,I31,I34,I35,I36,I37,I42,I43,I45,I47,I48,I49,I51,I52,I70,I71,I72,I73,I74,I77,I78,I79,I80,I81,I82,I83,I84,I85,I86,I87,I88,I89,I95,I96,I97,I98,I99",Other cardiovascular diseases,I36
"I26,I27,I28,I31,I34,I35,I36,I37,I42,I43,I45,I47,I48,I49,I51,I52,I70,I71,I72,I73,I74,I77,I78,I79,I80,I81,I82,I83,I84,I85,I86,I87,I88,I89,I95,I96,I97,I98,I99",Other cardiovascular diseases,I37
"I26,I27,I28,I31,I34,I35,I36,I37,I42,I43,I45,I47,I48,I49,I51,I52,I70,I71,I72,I73,I74,I77,I78,I79,I80,I81,I82,I83,I84,I85,I86,I87,I88,I89,I95,I96,I97,I98,I99",Other cardiovascular diseases,I42
"I26,I27,I28,I31,I34,I35,I36,I37,I42,I43,I45,I47,I48,I49,I51,I52,I70,I71,I72,I73,I74,I77,I78,I79,I80,I81,I82,I83,I84,I85,I86,I87,I88,I89,I95,I96,I97,I98,I99",Other cardiovascular diseases,I43
"I26,I27,I28,I31,I34,I35,I36,I37,I42,I43,I45,I47,I48,I49,I51,I52,I70,I71,I72,I73,I74,I77,I78,I79,I80,I81,I82,I83,I84,I85,I86,I87,I88,I89,I95,I96,I97,I98,I99",Other cardiovascular diseases,I45
"I26,I27,I28,I31,I34,I35,I36,I37,I42,I43,I45,I47,I48,I49,I51,I52,I70,I71,I72,I73,I74,I77,I78,I79,I80,I81,I82,I83,I84,I85,I86,I87,I88,I89,I95,I96,I97,I98,I99",Other cardiovascular diseases,I47
"I26,I27,I28,I31,I34,I35,I36,I37,I42,I43,I45,I47,I48,I49,I51,I52,I70,I71,I72,I73,I74,I77,I78,I79,I80,I81,I82,I83,I84,I85,I86,I87,I88,I89,I95,I96,I97,I98,I99",Other cardiovascular diseases,I48
"I26,I27,I28,I31,I34,I35,I36,I37,I42,I43,I45,I47,I48,I49,I51,I52,I70,I71,I72,I73,I74,I77,I78,I79,I80,I81,I82,I83,I84,I85,I86,I87,I88,I89,I95,I96,I97,I98,I99",Other cardiovascular diseases,I49
"I26,I27,I28,I31,I34,I35,I36,I37,I42,I43,I45,I47,I48,I49,I51,I52,I70,I71,I72,I73,I74,I77,I78,I79,I80,I81,I82,I83,I84,I85,I86,I87,I88,I89,I95,I96,I97,I98,I99",Other cardiovascular diseases,I51
"I26,I27,I28,I31,I34,I35,I36,I37,I42,I43,I45,I47,I48,I49,I51,I52,I70,I71,I72,I73,I74,I77,I78,I79,I80,I81,I82,I83,I84,I85,I86,I87,I88,I89,I95,I96,I97,I98,I99",Other cardiovascular diseases,I52
"I26,I27,I28,I31,I34,I35,I36,I37,I42,I43,I45,I47,I48,I49,I51,I52,I70,I71,I72,I73,I74,I77,I78,I79,I80,I81,I82,I83,I84,I85,I86,I87,I88,I89,I95,I96,I97,I98,I99",Other cardiovascular diseases,I70
