cghr10_age,cghr10_title,icd10_code,icd10_range
adult,Unspecified infections,M60,M60
adult,Other noncommunicable diseases,M61,M61-M85
adult,Other noncommunicable diseases,M62,M61-M85
adult,Other noncommunicable diseases,M63,M61-M85
adult,Other noncommunicable diseases,M64,M61-M85
adult,Other noncommunicable diseases,M65,M61-M85
adult,Other noncommunicable diseases,M66,M61-M85
adult,Other noncommunicable diseases,M67,M61-M85
adult,Other noncommunicable diseases,M68,M61-M85
adult,Other noncommunicable diseases,M69,M61-M85
adult,Other noncommunicable diseases,M70,M61-M85
adult,Other noncommunicable diseases,M71,M61-M85
adult,Other noncommunicable diseases,M72,M61-M85
adult,Other noncommunicable diseases,M73,M61-M85
adult,Other noncommunicable diseases,M74,M61-M85
adult,Other noncommunicable diseases,M75,M61-M85
adult,Other noncommunicable diseases,M76,M61-M85
adult,Other noncommunicable diseases,M77,M61-M85
adult,Other noncommunicable diseases,M78,M61-M85
adult,Other noncommunicable diseases,M79,M61-M85
adult,Other noncommunicable diseases,M80,M61-M85
adult,Other noncommunicable diseases,M81,M61-M85
adult,Other noncommunicable diseases,M82,M61-M85
adult,Other noncommunicable diseases,M83,M61-M85
adult,Other noncommunicable diseases,M84,M61-M85
adult,Other noncommunicable diseases,M85,M61-M85
adult,Unspecified infections,M86,M86
adult,Other noncommunicable diseases,M87,M87-M99
adult,Other noncommunicable diseases,M88,M87-M99
adult,Other noncommunicable diseases,M89,M87-M99
adult,Other noncommunicable diseases,M90,M87-M99
adult,Other noncommunicable diseases,M91,M87-M99
adult,Other noncommunicable diseases,M92,M87-M99
adult,Other noncommunicable diseases,M93,M87-M99
adult,Other noncommunicable diseases,M94,M87-M99
adult,Other noncommunicable diseases,M95,M87-M99
adult,Other noncommunicable diseases,M96,M87-M99
adult,Other noncommunicable diseases,M97,M87-M99
adult,Other noncommunicable diseases,M98,M87-M99
adult,Other noncommunicable diseases,M99,M87-M99
adult,Other noncommunicable diseases,N00,N00-N08
adult,Other noncommunicable diseases,N01,N00-N08
adult,Other noncommunicable diseases,N02,N00-N08
adult,Other noncommunicable diseases,N03,N00-N08
adult,Other noncommunicable diseases,N04,N00-N08
adult,Other noncommunicable diseases,N05,N00-N08
adult,Other noncommunicable diseases,N06,N00-N08
adult,Other noncommunicable diseases,N07,N00-N08
adult,Other noncommunicable diseases,N08,N00-N08
adult,Unspecified infections,N10,N10
adult,Other noncommunicable diseases,N11,N11-N29
adult,Other noncommunicable diseases,N12,N11-N29
adult,Other noncommunicable diseases,N13,N11-N29
adult,Other noncommunicable diseases,N14,N11-N29
adult,Other noncommunicable diseases,N15,N11-N29
adult,Other noncommunicable diseases,N16,N11-N29
adult,Other noncommunicable diseases,N17,N11-N29
adult,Other noncommunicable diseases,N18,N11-N29
adult,Other noncommunicable diseases,N19,N11-N29
adult,Other noncommunicable diseases,N20,N11-N29
adult,Other noncommunicable diseases,N21,N11-N29
adult,Other noncommunicable diseases,N22,N11-N29
adult,Other noncommunicable diseases,N23,N11-N29
adult,Other noncommunicable diseases,N24,N11-N29
adult,Other noncommunicable diseases,N25,N11-N29
adult,Other noncommunicable diseases,N26,N11-N29
adult,Other noncommunicable diseases,N27,N11-N29
adult,Other noncommunicable diseases,N28,N11-N29
adult,Other noncommunicable diseases,N29,N11-N29
adult,Unspecified infections,N30,N30
adult,Other noncommunicable diseases,N31,N31-N33
adult,Other noncommunicable diseases,N32,N31-N33
adult,Other noncommunicable diseases,N33,N31-N33
adult,Unspecified infections,N34,N34
adult,Other noncommunicable diseases,N35,N35-N40
adult,Other noncommunicable diseases,N36,N35-N40
adult,Other noncommunicable diseases,N37,N35-N40
adult,Other noncommunicable diseases,N38,N35-N40
adult,Other noncommunicable diseases,N39,N35-N40
adult,Other noncommunicable diseases,N40,N35-N40
adult,Unspecified infections,N41,N41
adult,Other noncommunicable diseases,N42,N42-N48
adult,Other noncommunicable diseases,N43,N42-N48
adult,Other noncommunicable diseases,N44,N42-N48
adult,Other noncommunicable diseases,N45,N42-N48
adult,Other noncommunicable diseases,N46,N42-N48
adult,Other noncommunicable diseases,N47,N42-N48
adult,Other noncommunicable diseases,N48,N42-N48
adult,Unspecified infections,N49,N49
adult,Other noncommunicable diseases,N50,N50-N59
adult,Other noncommunicable diseases,N51,N50-N59
adult,Other noncommunicable diseases,N52,N50-N59
adult,Other noncommunicable diseases,N53,N50-N59
adult,Other noncommunicable diseases,N54,N50-N59
adult,Other noncommunicable diseases,N55,N50-N59
adult,Other noncommunicable diseases,N56,N50-N59
adult,Other noncommunicable diseases,N57,N50-N59
adult,Other noncommunicable diseases,N58,N50-N59
adult,Other noncommunicable diseases,N59,N50-N59
adult,Cancers,N60,N60
adult,Unspecified infections,N61,N61
adult,Cancers,N62,N62-N64
adult,Cancers,N63,N62-N64
adult,Cancers,N64,N62-N64
adult,Unspecified infections,N70,N70-N74
adult,Unspecified infections,N71,N70-N74
adult,Unspecified infections,N72,N70-N74
adult,Unspecified infections,N73,N70-N74
adult,Unspecified infections,N74,N70-N74
adult,Other noncommunicable diseases,N75,N75-N86
adult,Other noncommunicable diseases,N76,N75-N86
adult,Other noncommunicable diseases,N77,N75-N86
adult,Other noncommunicable diseases,N78,N75-N86
adult,Other noncommunicable diseases,N79,N75-N86
adult,Other noncommunicable diseases,N80,N75-N86
adult,Other noncommunicable diseases,N81,N75-N86
adult,Other noncommunicable diseases,N82,N75-N86
adult,Other noncommunicable diseases,N83,N75-N86
adult,Other noncommunicable diseases,N84,N75-N86
adult,Other noncommunicable diseases,N85,N75-N86
adult,Other noncommunicable diseases,N86,N75-N86
adult,Cancers,N87,N87
adult,Other noncommunicable diseases,N88,N88-N99
adult,Other noncommunicable diseases,N89,N88-N99
adult,Other noncommunicable diseases,N90,N88-N99
adult,Other noncommunicable diseases,N91,N88-N99
adult,Other noncommunicable diseases,N92,N88-N99
adult,Other noncommunicable diseases,N93,N88-N99
adult,Other noncommunicable diseases,N94,N88-N99
adult,Other noncommunicable diseases,N95,N88-N99
adult,Other noncommunicable diseases,N96,N88-N99
adult,Other noncommunicable diseases,N97,N88-N99
adult,Other noncommunicable diseases,N98,N88-N99
adult,Other noncommunicable diseases,N99,N88-N99
adult,Maternal conditions,O00,O00-O08
adult,Maternal conditions,O01,O00-O08
adult,Maternal conditions,O02,O00-O08
adult,Maternal conditions,O03,O00-O08
adult,Maternal conditions,O04,O00-O08
adult,Maternal conditions,O05,O00-O08
adult,Maternal conditions,O06,O00-O08
adult,Maternal conditions,O07,O00-O08
adult,Maternal conditions,O08,O00-O08
adult,Maternal conditions,O10,O10-O16
adult,Maternal conditions,O11,O10-O16
adult,Maternal conditions,O12,O10-O16
adult,Maternal conditions,O13,O10-O16
adult,Maternal conditions,O14,O10-O16
adult,Maternal conditions,O15,O10-O16
adult,Maternal conditions,O16,O10-O16
adult,Maternal conditions,O20,O20-O99
adult,Maternal conditions,O21,O20-O99
adult,Maternal conditions,O22,O20-O99
adult,Maternal conditions,O23,O20-O99
adult,Maternal conditions,O24,O20-O99
adult,Maternal conditions,O25,O20-O99
adult,Maternal conditions,O26,O20-O99
adult,Maternal conditions,O27,O20-O99
adult,Maternal conditions,O28,O20-O99
adult,Maternal conditions,O29,O20-O99
adult,Maternal conditions,O30,O20-O99
adult,Maternal conditions,O31,O20-O99
adult,Maternal conditions,O32,O20-O99
adult,Maternal conditions,O33,O20-O99
adult,Maternal conditions,O34,O20-O99
adult,Maternal conditions,O35,O20-O99
adult,Maternal conditions,O36,O20-O99
adult,Maternal conditions,O37,O20-O99
adult,Maternal conditions,O38,O20-O99
adult,Maternal conditions,O39,O20-O99
adult,Maternal conditions,O40,O20-O99
adult,Maternal conditions,O41,O20-O99
adult,Maternal conditions,O42,O20-O99
adult,Maternal conditions,O43,O20-O99
adult,Maternal conditions,O44,O20-O99
adult,Maternal conditions,O45,O20-O99
adult,Maternal conditions,O46,O20-O99
adult,Maternal conditions,O47,O20-O99
adult,Maternal conditions,O48,O20-O99
adult,Maternal conditions,O49,O20-O99
adult,Maternal conditions,O50,O20-O99
adult,Maternal conditions,O51,O20-O99
adult,Maternal conditions,O52,O20-O99
adult,Maternal conditions,O53,O20-O99
adult,Maternal conditions,O54,O20-O99
adult,Maternal conditions,O55,O20-O99
adult,Maternal conditions,O56,O20-O99
adult,Maternal conditions,O57,O20-O99
adult,Maternal conditions,O58,O20-O99
adult,Maternal conditions,O59,O20-O99
adult,Maternal conditions,O60,O20-O99
adult,Maternal conditions,O61,O20-O99
adult,Maternal conditions,O62,O20-O99
adult,Maternal conditions,O63,O20-O99
adult,Maternal conditions,O64,O20-O99
adult,Maternal conditions,O65,O20-O99
adult,Maternal conditions,O66,O20-O99
adult,Maternal conditions,O67,O20-O99
adult,Maternal conditions,O68,O20-O99
adult,Maternal conditions,O69,O20-O99
adult,Maternal conditions,O70,O20-O99
adult,Maternal conditions,O71,O20-O99
adult,Maternal conditions,O72,O20-O99
adult,Maternal conditions,O73,O20-O99
adult,Maternal conditions,O74,O20-O99
adult,Maternal conditions,O75,O20-O99
adult,Maternal conditions,O76,O20-O99
adult,Maternal conditions,O77,O20-O99
adult,Maternal conditions,O78,O20-O99
adult,Maternal conditions,O79,O20-O99
adult,Maternal conditions,O80,O20-O99
adult,Maternal conditions,O81,O20-O99
adult,Maternal conditions,O82,O20-O99
adult,Maternal conditions,O83,O20-O99
adult,Maternal conditions,O84,O20-O99
adult,Maternal conditions,O85,O20-O99
adult,Maternal conditions,O86,O20-O99
adult,Maternal conditions,O87,O20-O99
adult,Maternal conditions,O88,O20-O99
adult,Maternal conditions,O89,O20-O99
adult,Maternal conditions,O90,O20-O99
adult,Maternal conditions,O91,O20-O99
adult,Maternal conditions,O92,O20-O99
adult,Maternal conditions,O93,O20-O99
adult,Maternal conditions,O94,O20-O99
adult,Maternal conditions,O95,O20-O99
adult,Maternal conditions,O96,O20-O99
adult,Maternal conditions,O97,O20-O99
adult,Maternal conditions,O98,O20-O99
adult,Maternal conditions,O99,O20-O99
adult,Acute respiratory infections,P23,P23
adult,Unspecified infections,P35,P35-P39
adult,Unspecified infections,P36,P35-P39
adult,Unspecified infections,P37,P35-P39
adult,Unspecified infections,P38,P35-P39
adult,Unspecified infections,P39,P35-P39
adult,Other noncommunicable diseases,Q00,Q00-Q99
adult,Other noncommunicable diseases,Q01,Q00-Q99
adult,Other noncommunicable diseases,Q02,Q00-Q99
adult,Other noncommunicable diseases,Q03,Q00-Q99
adult,Other noncommunicable diseases,Q04,Q00-Q99
adult,Other noncommunicable diseases,Q05,Q00-Q99
adult,Other noncommunicable diseases,Q06,Q00-Q99
adult,Other noncommunicable diseases,Q07,Q00-Q99
adult,Other noncommunicable diseases,Q08,Q00-Q99
adult,Other noncommunicable diseases,Q09,Q00-Q99
adult,Other noncommunicable diseases,Q10,Q00-Q99
adult,Other noncommunicable diseases,Q11,Q00-Q99
adult,Other noncommunicable diseases,Q12,Q00-Q99
adult,Other noncommunicable diseases,Q13,Q00-Q99
adult,Other noncommunicable diseases,Q14,Q00-Q99
adult,Other noncommunicable diseases,Q15,Q00-Q99
adult,Other noncommunicable diseases,Q16,Q00-Q99
adult,Other noncommunicable diseases,Q17,Q00-Q99
adult,Other noncommunicable diseases,Q18,Q00-Q99
adult,Other noncommunicable diseases,Q19,Q00-Q99
adult,Other noncommunicable diseases,Q20,Q00-Q99
adult,Other noncommunicable diseases,Q21,Q00-Q99
adult,Other noncommunicable diseases,Q22,Q00-Q99
adult,Other noncommunicable diseases,Q23,Q00-Q99
adult,Other noncommunicable diseases,Q24,Q00-Q99
adult,Other noncommunicable diseases,Q25,Q00-Q99
adult,Other noncommunicable diseases,Q26,Q00-Q99
adult,Other noncommunicable diseases,Q27,Q00-Q99
adult,Other noncommunicable diseases,Q28,Q00-Q99
adult,Other noncommunicable diseases,Q29,Q00-Q99
adult,Other noncommunicable diseases,Q30,Q00-Q99
adult,Other noncommunicable diseases,Q31,Q00-Q99
adult,Other noncommunicable diseases,Q32,Q00-Q99
adult,Other noncommunicable diseases,Q33,Q00-Q99
adult,Other noncommunicable diseases,Q34,Q00-Q99
adult,Other noncommunicable diseases,Q35,Q00-Q99
adult,Other noncommunicable diseases,Q36,Q00-Q99
adult,Other noncommunicable diseases,Q37,Q00-Q99
adult,Other noncommunicable diseases,Q38,Q00-Q99
adult,Other noncommunicable diseases,Q39,Q00-Q99
adult,Other noncommunicable diseases,Q40,Q00-Q99
adult,Other noncommunicable diseases,Q41,Q00-Q99
adult,Other noncommunicable diseases,Q42,Q00-Q99
adult,Other noncommunicable diseases,Q43,Q00-Q99
adult,Other noncommunicable diseases,Q44,Q00-Q99
adult,Other noncommunicable diseases,Q45,Q00-Q99
adult,Other noncommunicable diseases,Q46,Q00-Q99
adult,Other noncommunicable diseases,Q47,Q00-Q99
adult,Other noncommunicable diseases,Q48,Q00-Q99
adult,Other noncommunicable diseases,Q49,Q00-Q99
adult,Other noncommunicable diseases,Q50,Q00-Q99
adult,Other noncommunicable diseases,Q51,Q00-Q99
adult,Other noncommunicable diseases,Q52,Q00-Q99
adult,Other noncommunicable diseases,Q53,Q00-Q99
adult,Other noncommunicable diseases,Q54,Q00-Q99
adult,Other noncommunicable diseases,Q55,Q00-Q99
adult,Other noncommunicable diseases,Q56,Q00-Q99
adult,Other noncommunicable diseases,Q57,Q00-Q99
adult,Other noncommunicable diseases,Q58,Q00-Q99
adult,Other noncommunicable diseases,Q59,Q00-Q99
adult,Other noncommunicable diseases,Q60,Q00-Q99
adult,Other noncommunicable diseases,Q61,Q00-Q99
adult,Other noncommunicable diseases,Q62,Q00-Q99
adult,Other noncommunicable diseases,Q63,Q00-Q99
adult,Other noncommunicable diseases,Q64,Q00-Q99
adult,Other noncommunicable diseases,Q65,Q00-Q99
adult,Other noncommunicable diseases,Q66,Q00-Q99
adult,Other noncommunicable diseases,Q67,Q00-Q99
adult,Other noncommunicable diseases,Q68,Q00-Q99
adult,Other noncommunicable diseases,Q69,Q00-Q99
adult,Other noncommunicable diseases,Q70,Q00-Q99
adult,Other noncommunicable diseases,Q71,Q00-Q99
adult,Other noncommunicable diseases,Q72,Q00-Q99
adult,Other noncommunicable diseases,Q73,Q00-Q99
adult,Other noncommunicable diseases,Q74,Q00-Q99
adult,Other noncommunicable diseases,Q75,Q00-Q99
adult,Other noncommunicable diseases,Q76,Q00-Q99
adult,Other noncommunicable diseases,Q77,Q00-Q99
adult,Other noncommunicable diseases,Q78,Q00-Q99
adult,Other noncommunicable diseases,Q79,Q00-Q99
adult,Other noncommunicable diseases,Q80,Q00-Q99
adult,Other noncommunicable diseases,Q81,Q00-Q99
adult,Other noncommunicable diseases,Q82,Q00-Q99
adult,Other noncommunicable diseases,Q83,Q00-Q99
adult,Other noncommunicable diseases,Q84,Q00-Q99
adult,Other noncommunicable diseases,Q85,Q00-Q99
adult,Other noncommunicable diseases,Q86,Q00-Q99
adult,Other noncommunicable diseases,Q87,Q00-Q99
adult,Other noncommunicable diseases,Q88,Q00-Q99
adult,Other noncommunicable diseases,Q89,Q00-Q99
adult,Other noncommunicable diseases,Q90,Q00-Q99
adult,Other noncommunicable diseases,Q91,Q00-Q99
adult,Other noncommunicable diseases,Q92,Q00-Q99
adult,Other noncommunicable diseases,Q93,Q00-Q99
adult,Other noncommunicable diseases,Q94,Q00-Q99
adult,Other noncommunicable diseases,Q95,Q00-Q99
adult,Other noncommunicable diseases,Q96,Q00-Q99
adult,Other noncommunicable diseases,Q97,Q00-Q99
adult,Other noncommunicable diseases,Q98,Q00-Q99
adult,Other noncommunicable diseases,Q99,Q00-Q99
adult,Other cardiovascular diseases,R00,R00-R01
adult,Other cardiovascular diseases,R01,R00-R01
adult,Ill-defined,R02,R02
adult,Other cardiovascular diseases,R03,R03
adult,Chronic respiratory diseases,R04,R04-R06
adult,Chronic respiratory diseases,R05,R04-R06
adult,Chronic respiratory diseases,R06,R04-R06
adult,Ill-defined,R07,R07-R09
adult,Ill-defined,R08,R07-R09
adult,Ill-defined,R09,R07-R09
adult,Other noncommunicable diseases,R10,R10-R15
adult,Other noncommunicable diseases,R11,R10-R15
adult,Other noncommunicable diseases,R12,R10-R15
adult,Other noncommunicable diseases,R13,R10-R15
adult,Other noncommunicable diseases,R14,R10-R15
adult,Other noncommunicable diseases,R15,R10-R15
adult,Liver and alcohol related diseases,R16,R16-R18
adult,Liver and alcohol related diseases,R17,R16-R18
adult,Liver and alcohol related diseases,R18,R16-R18
adult,Other noncommunicable diseases,R19,R19-R23
adult,Other noncommunicable diseases,R20,R19-R23
adult,Other noncommunicable diseases,R21,R19-R23
adult,Other noncommunicable diseases,R22,R19-R23
adult,Other noncommunicable diseases,R23,R19-R23
adult,Ill-defined,R25,R25
adult,Other noncommunicable diseases,R26,R26-R27
adult,Other noncommunicable diseases,R27,R26-R27
adult,Other noncommunicable diseases,R29,R29-R49
adult,Other noncommunicable diseases,R30,R29-R49
adult,Other noncommunicable diseases,R31,R29-R49
adult,Other noncommunicable diseases,R32,R29-R49
adult,Other noncommunicable diseases,R33,R29-R49
adult,Other noncommunicable diseases,R34,R29-R49
adult,Other noncommunicable diseases,R35,R29-R49
adult,Other noncommunicable diseases,R36,R29-R49
adult,Other noncommunicable diseases,R37,R29-R49
adult,Other noncommunicable diseases,R38,R29-R49
adult,Other noncommunicable diseases,R39,R29-R49
adult,Other noncommunicable diseases,R40,R29-R49
adult,Other noncommunicable diseases,R41,R29-R49
adult,Other noncommunicable diseases,R42,R29-R49
adult,Other noncommunicable diseases,R43,R29-R49
adult,Other noncommunicable diseases,R44,R29-R49
adult,Other noncommunicable diseases,R45,R29-R49
adult,Other noncommunicable diseases,R46,R29-R49
adult,Other noncommunicable diseases,R47,R29-R49
adult,Other noncommunicable diseases,R48,R29-R49
adult,Other noncommunicable diseases,R49,R29-R49
adult,Unspecified infections,R50,R50
adult,Ill-defined,R51,R51-R54
adult,Ill-defined,R52,R51-R54
adult,Ill-defined,R53,R51-R54
adult,Ill-defined,R54,R51-R54
adult,Ischemic heart disease,R55,R55
adult,Other noncommunicable diseases,R56,R56
adult,Ill-defined,R57,R57-R58
adult,Ill-defined,R58,R57-R58
adult,Cancers,R59,R59
adult,Ill-defined,R60,R60-R62
adult,Ill-defined,R61,R60-R62
adult,Ill-defined,R62,R60-R62
adult,Other noncommunicable diseases,R63,R63
adult,Ill-defined,R64,R64-R69
adult,Ill-defined,R65,R64-R69
adult,Ill-defined,R66,R64-R69
adult,Ill-defined,R67,R64-R69
adult,Ill-defined,R68,R64-R69
adult,Ill-defined,R69,R64-R69
adult,Other noncommunicable diseases,R70,R70-R74
adult,Other noncommunicable diseases,R71,R70-R74
adult,Other noncommunicable diseases,R72,R70-R74
adult,Other noncommunicable diseases,R73,R70-R74
adult,Other noncommunicable diseases,R74,R70-R74
adult,Unspecified infections,R75,R75
adult,Other noncommunicable diseases,R76,R76-R77
adult,Other noncommunicable diseases,R77,R76-R77
adult,Ill-defined,R78,R78-R79
adult,Ill-defined,R79,R78-R79
adult,Other noncommunicable diseases,R80,R80-R82
adult,Other noncommunicable diseases,R81,R80-R82
adult,Other noncommunicable diseases,R82,R80-R82
adult,Ill-defined,R83,R83
adult,Chronic respiratory diseases,R84,R84
adult,Other noncommunicable diseases,R85,R85-R87
adult,Other noncommunicable diseases,R86,R85-R87
adult,Other noncommunicable diseases,R87,R85-R87
adult,Ill-defined,R89,R89
adult,Other noncommunicable diseases,R90,R90
adult,Chronic respiratory diseases,R91,R91
adult,Ill-defined,R92,R92-R94
adult,Ill-defined,R93,R92-R94
adult,Ill-defined,R94,R92-R94
adult,Ill-defined,R96,R96
adult,Ill-defined,R98,R98-R99
adult,Ill-defined,R99,R98-R99
adult,Other injuries,S00,S00-S99
adult,Other injuries,S01,S00-S99
adult,Other injuries,S02,S00-S99
adult,Other injuries,S03,S00-S99
adult,Other injuries,S04,S00-S99
adult,Other injuries,S05,S00-S99
adult,Other injuries,S06,S00-S99
adult,Other injuries,S07,S00-S99
adult,Other injuries,S08,S00-S99
adult,Other injuries,S09,S00-S99
adult,Other injuries,S10,S00-S99
adult,Other injuries,S11,S00-S99
adult,Other injuries,S12,S00-S99
adult,Other injuries,S13,S00-S99
adult,Other injuries,S14,S00-S99
adult,Other injuries,S15,S00-S99
adult,Other injuries,S16,S00-S99
adult,Other injuries,S17,S00-S99
adult,Other injuries,S18,S00-S99
adult,Other injuries,S19,S00-S99
adult,Other injuries,S20,S00-S99
adult,Other injuries,S21,S00-S99
adult,Other injuries,S22,S00-S99
adult,Other injuries,S23,S00-S99
adult,Other injuries,S24,S00-S99
adult,Other injuries,S25,S00-S99
adult,Other injuries,S26,S00-S99
adult,Other injuries,S27,S00-S99
adult,Other injuries,S28,S00-S99
adult,Other injuries,S29,S00-S99
adult,Other injuries,S30,S00-S99
adult,Other injuries,S31,S00-S99
adult,Other injuries,S32,S00-S99
adult,Other injuries,S33,S00-S99
adult,Other injuries,S34,S00-S99
adult,Other injuries,S35,S00-S99
adult,Other injuries,S36,S00-S99
adult,Other injuries,S37,S00-S99
adult,Other injuries,S38,S00-S99
adult,Other injuries,S39,S00-S99
adult,Other injuries,S40,S00-S99
adult,Other injuries,S41,S00-S99
adult,Other injuries,S42,S00-S99
adult,Other injuries,S43,S00-S99
adult,Other injuries,S44,S00-S99
adult,Other injuries,S45,S00-S99
adult,Other injuries,S46,S00-S99
adult,Other injuries,S47,S00-S99
adult,Other injuries,S48,S00-S99
adult,Other injuries,S49,S00-S99
adult,Other injuries,S50,S00-S99
adult,Other injuries,S51,S00-S99
adult,Other injuries,S52,S00-S99
adult,Other injuries,S53,S00-S99
adult,Other injuries,S54,S00-S99
adult,Other injuries,S55,S00-S99
adult,Other injuries,S56,S00-S99
adult,Other injuries,S57,S00-S99
adult,Other injuries,S58,S00-S99
adult,Other injuries,S59,S00-S99
adult,Other injuries,S60,S00-S99
adult,Other injuries,S61,S00-S99
adult,Other injuries,S62,S00-S99
adult,Other injuries,S63,S00-S99
adult,Other injuries,S64,S00-S99
adult,Other injuries,S65,S00-S99
adult,Other injuries,S66,S00-S99
adult,Other injuries,S67,S00-S99
adult,Other injuries,S68,S00-S99
adult,Other injuries,S69,S00-S99
adult,Other injuries,S70,S00-S99
adult,Other injuries,S71,S00-S99
adult,Other injuries,S72,S00-S99
adult,Other injuries,S73,S00-S99
adult,Other injuries,S74,S00-S99
adult,Other injuries,S75,S00-S99
adult,Other injuries,S76,S00-S99
adult,Other injuries,S77,S00-S99
adult,Other injuries,S78,S00-S99
adult,Other injuries,S79,S00-S99
adult,Other injuries,S80,S00-S99
adult,Other injuries,S81,S00-S99
adult,Other injuries,S82,S00-S99
adult,Other injuries,S83,S00-S99
adult,Other injuries,S84,S00-S99
adult,Other injuries,S85,S00-S99
adult,Other injuries,S86,S00-S99
adult,Other injuries,S87,S00-S99
adult,Other injuries,S88,S00-S99
adult,Other injuries,S89,S00-S99
adult,Other injuries,S90,S00-S99
adult,Other injuries,S91,S00-S99
adult,Other injuries,S92,S00-S99
adult,Other injuries,S93,S00-S99
adult,Other injuries,S94,S00-S99
adult,Other injuries,S95,S00-S99
adult,Other injuries,S96,S00-S99
adult,Other injuries,S97,S00-S99
adult,Other injuries,S98,S00-S99
adult,Other injuries,S99,S00-S99
adult,Other injuries,T00,T00-T99
adult,Other injuries,T01,T00-T99
adult,Other injuries,T02,T00-T99
adult,Other injuries,T03,T00-T99
adult,Other injuries,T04,T00-T99
adult,Other injuries,T05,T00-T99
adult,Other injuries,T06,T00-T99
adult,Other injuries,T07,T00-T99
adult,Other injuries,T08,T00-T99
adult,Other injuries,T09,T00-T99
adult,Other injuries,T10,T00-T99
adult,Other injuries,T11,T00-T99
adult,Other injuries,T12,T00-T99
adult,Other injuries,T13,T00-T99
adult,Other injuries,T14,T00-T99
adult,Other injuries,T15,T00-T99
adult,Other injuries,T16,T00-T99
adult,Other injuries,T17,T00-T99
adult,Other injuries,T18,T00-T99
adult,Other injuries,T19,T00-T99
adult,Other injuries,T20,T00-T99
adult,Other injuries,T21,T00-T99
adult,Other injuries,T22,T00-T99
adult,Other injuries,T23,T00-T99
adult,Other injuries,T24,T00-T99
adult,Other injuries,T25,T00-T99
adult,Other injuries,T26,T00-T99
adult,Other injuries,T27,T00-T99
adult,Other injuries,T28,T00-T99
adult,Other injuries,T29,T00-T99
adult,Other injuries,T30,T00-T99
adult,Other injuries,T31,T00-T99
adult,Other injuries,T32,T00-T99
adult,Other injuries,T33,T00-T99
adult,Other injuries,T34,T00-T99
adult,Other injuries,T35,T00-T99
adult,Other injuries,T36,T00-T99
adult,Other injuries,T37,T00-T99
adult,Other injuries,T38,T00-T99
adult,Other injuries,T39,T00-T99
adult,Other injuries,T40,T00-T99
adult,Other injuries,T41,T00-T99
adult,Other injuries,T42,T00-T99
adult,Other injuries,T43,T00-T99
adult,Other injuries,T44,T00-T99
adult,Other injuries,T45,T00-T99
adult,Other injuries,T46,T00-T99
adult,Other injuries,T47,T00-T99
adult,Other injuries,T48,T00-T99
adult,Other injuries,T49,T00-T99
adult,Other injuries,T50,T00-T99
adult,Other injuries,T51,T00-T99
adult,Other injuries,T52,T00-T99
adult,Other injuries,T53,T00-T99
adult,Other injuries,T54,T00-T99
adult,Other injuries,T55,T00-T99
adult,Other injuries,T56,T00-T99
adult,Other injuries,T57,T00-T99
adult,Other injuries,T58,T00-T99
adult,Other injuries,T59,T00-T99
adult,Other injuries,T60,T00-T99
adult,Other injuries,T61,T00-T99
adult,Other injuries,T62,T00-T99
adult,Other injuries,T63,T00-T99
adult,Other injuries,T64,T00-T99
adult,Other injuries,T65,T00-T99
adult,Other injuries,T66,T00-T99
adult,Other injuries,T67,T00-T99
adult,Other injuries,T68,T00-T99
adult,Other injuries,T69,T00-T99
adult,Other injuries,T70,T00-T99
adult,Other injuries,T71,T00-T99
adult,Other injuries,T72,T00-T99
adult,Other injuries,T73,T00-T99
adult,Other injuries,T74,T00-T99
adult,Other injuries,T75,T00-T99
adult,Other injuries,T76,T00-T99
adult,Other injuries,T77,T00-T99
adult,Other injuries,T78,T00-T99
adult,Other injuries,T79,T00-T99
adult,Other injuries,T80,T00-T99
adult,Other injuries,T81,T00-T99
adult,Other injuries,T82,T00-T99
adult,Other injuries,T83,T00-T99
adult,Other injuries,T84,T00-T99
adult,Other injuries,T85,T00-T99
adult,Other injuries,T86,T00-T99
adult,Other injuries,T87,T00-T99
adult,Other injuries,T88,T00-T99
adult,Other injuries,T89,T00-T99
adult,Other injuries,T90,T00-T99
adult,Other injuries,T91,T00-T99
adult,Other injuries,T92,T00-T99
adult,Other injuries,T93,T00-T99
adult,Other injuries,T94,T00-T99
adult,Other injuries,T95,T00-T99
adult,Other injuries,T96,T00-T99
adult,Other injuries,T97,T00-T99
adult,Other injuries,T98,T00-T99
adult,Other injuries,T99,T00-T99
adult,Road and transport injuries,V01,V01-V99
adult,Road and transport injuries,V02,V01-V99
adult,Road and transport injuries,V03,V01-V99
adult,Road and transport injuries,V04,V01-V99
adult,Road and transport injuries,V05,V01-V99
adult,Road and transport injuries,V06,V01-V99
adult,Road and transport injuries,V07,V01-V99
adult,Road and transport injuries,V08,V01-V99
adult,Road and transport injuries,V09,V01-V99
adult,Road and transport injuries,V10,V01-V99
adult,Road and transport injuries,V11,V01-V99
adult,Road and transport injuries,V12,V01-V99
adult,Road and transport injuries,V13,V01-V99
adult,Road and transport injuries,V14,V01-V99
adult,Road and transport injuries,V15,V01-V99
adult,Road and transport injuries,V16,V01-V99
adult,Road and transport injuries,V17,V01-V99
adult,Road and transport injuries,V18,V01-V99
adult,Road and transport injuries,V19,V01-V99
adult,Road and transport injuries,V20,V01-V99
adult,Road and transport injuries,V21,V01-V99
adult,Road and transport injuries,V22,V01-V99
